id,education,joining_year,city,payment_tier,age,gender,ever_benched,years_experience,leave_or_not
161,Bachelors,2014,Bangalore,3,28,Female,No,3,0
162,Bachelors,2013,Bangalore,3,26,Female,No,4,0
164,Bachelors,2016,Bangalore,3,25,Male,No,3,1
165,Bachelors,2015,Bangalore,3,25,Male,No,3,0
166,Bachelors,2014,Bangalore,3,27,Male,No,5,0
167,Bachelors,2012,Bangalore,3,24,Male,No,2,0
168,Bachelors,2014,Bangalore,3,25,Male,No,3,0
169,Bachelors,2015,Bangalore,3,28,Male,No,3,0
174,Bachelors,2014,Bangalore,3,27,Female,No,5,0
175,Bachelors,2013,Bangalore,3,26,Male,No,4,0
176,Bachelors,2016,Bangalore,3,26,Male,No,4,0
177,Bachelors,2012,Bangalore,3,25,Male,No,3,0
178,Bachelors,2015,Bangalore,3,25,Male,No,3,0
180,Bachelors,2012,Bangalore,3,27,Male,No,5,1
183,Bachelors,2018,Bangalore,3,24,Male,No,2,1
190,Bachelors,2013,Bangalore,2,27,Male,No,5,0
191,Bachelors,2015,Bangalore,3,26,Male,No,4,0
192,Bachelors,2015,Bangalore,3,26,Male,No,4,0
193,Bachelors,2013,Bangalore,3,28,Male,No,1,0
194,Bachelors,2015,Bangalore,3,27,Female,No,5,0
199,Bachelors,2015,Bangalore,3,28,Male,Yes,2,0
202,Bachelors,2014,Bangalore,3,25,Male,No,3,0
203,Bachelors,2017,Bangalore,3,27,Male,No,5,0
207,Bachelors,2017,Bangalore,3,25,Male,No,3,0
209,Masters,2017,Bangalore,3,28,Male,No,2,0
210,Bachelors,2012,Bangalore,3,25,Male,No,3,1
211,Bachelors,2017,Bangalore,3,27,Male,No,5,0
213,Masters,2013,Bangalore,2,28,Female,No,2,1
215,Bachelors,2018,Bangalore,3,27,Female,No,5,1
221,Bachelors,2016,Bangalore,3,25,Male,No,3,1
223,Bachelors,2018,Bangalore,3,28,Female,No,2,1
224,Bachelors,2013,Bangalore,3,27,Male,No,5,0
228,Bachelors,2018,Bangalore,3,25,Male,No,3,1
233,Bachelors,2014,Bangalore,3,26,Male,Yes,4,0
234,Bachelors,2018,Bangalore,3,24,Male,No,2,1
236,Bachelors,2015,Bangalore,3,24,Male,No,2,0
238,Masters,2017,Bangalore,2,26,Female,No,4,1
244,Bachelors,2014,Bangalore,3,25,Female,No,3,1
245,Bachelors,2014,Bangalore,3,25,Male,No,3,0
247,Bachelors,2015,Bangalore,3,28,Male,No,2,1
248,Bachelors,2015,Bangalore,3,27,Male,No,5,0
251,Bachelors,2016,Bangalore,1,28,Female,No,2,0
252,Bachelors,2014,Bangalore,3,25,Male,Yes,3,0
253,Bachelors,2014,Bangalore,3,27,Male,No,5,0
254,Bachelors,2017,Bangalore,3,28,Male,No,2,0
261,Bachelors,2017,Bangalore,3,28,Male,No,1,0
263,Masters,2018,Bangalore,3,24,Male,No,2,1
265,Bachelors,2016,Bangalore,3,26,Male,No,4,0
268,Bachelors,2012,Bangalore,3,27,Male,Yes,5,0
269,Bachelors,2013,Bangalore,3,24,Male,Yes,2,1
270,Bachelors,2018,Bangalore,3,26,Female,No,4,1
275,Bachelors,2018,Bangalore,3,28,Female,Yes,1,1
277,Bachelors,2012,Bangalore,3,25,Male,No,3,0
278,Bachelors,2014,Bangalore,3,28,Male,No,1,0
281,Bachelors,2014,Bangalore,3,25,Male,No,3,0
285,PHD,2014,Bangalore,3,24,Female,No,2,0
287,Bachelors,2018,Bangalore,3,26,Male,No,4,1
288,Bachelors,2012,Bangalore,3,26,Male,No,4,0
290,Bachelors,2018,Bangalore,3,26,Male,No,4,1
291,Bachelors,2016,Bangalore,3,24,Male,No,2,0
296,Bachelors,2015,Bangalore,3,26,Female,Yes,4,1
298,Bachelors,2016,Bangalore,3,24,Female,No,2,1
299,Bachelors,2012,Bangalore,3,28,Male,No,3,0
300,Bachelors,2012,Bangalore,3,27,Male,No,5,0
301,Bachelors,2013,Bangalore,3,26,Male,No,4,0
310,Bachelors,2016,Bangalore,3,24,Male,No,2,0
312,Bachelors,2017,Bangalore,3,24,Female,No,2,0
314,Bachelors,2017,Bangalore,1,25,Male,No,3,0
320,Bachelors,2016,Bangalore,3,27,Male,No,5,0
321,Bachelors,2017,Bangalore,3,28,Female,No,2,0
324,Bachelors,2013,Bangalore,3,26,Male,No,4,0
326,Bachelors,2017,Bangalore,3,28,Male,No,1,0
329,Bachelors,2013,Bangalore,3,28,Male,No,2,1
330,Bachelors,2017,Bangalore,3,24,Male,No,2,0
333,Bachelors,2015,Bangalore,3,24,Female,No,2,0
336,Bachelors,2018,Bangalore,3,24,Female,No,2,1
337,Bachelors,2013,Bangalore,3,27,Female,No,5,0
338,Bachelors,2013,Bangalore,3,24,Male,Yes,2,0
339,Bachelors,2013,Bangalore,3,24,Female,No,2,0
340,Bachelors,2013,Bangalore,3,27,Male,No,5,0
341,Bachelors,2017,Bangalore,3,26,Female,No,4,0
342,Bachelors,2015,Bangalore,3,24,Female,No,2,0
344,Bachelors,2016,Bangalore,3,24,Male,Yes,2,1
345,Bachelors,2012,Bangalore,3,28,Male,No,3,0
352,Bachelors,2016,Bangalore,3,25,Male,No,3,1
354,Bachelors,2017,Bangalore,3,28,Male,No,2,0
355,Bachelors,2012,Bangalore,3,25,Male,No,3,0
356,Bachelors,2017,Bangalore,3,25,Female,Yes,3,0
362,Bachelors,2016,Bangalore,3,27,Male,No,5,0
365,Masters,2017,Bangalore,1,26,Female,No,4,1
367,Bachelors,2015,Bangalore,3,24,Male,No,2,0
369,Bachelors,2014,Bangalore,3,25,Female,No,3,0
370,Bachelors,2014,Bangalore,3,28,Male,No,2,0
371,Bachelors,2017,Bangalore,3,28,Male,No,3,0
374,Masters,2018,Bangalore,3,25,Male,Yes,3,1
375,Bachelors,2016,Bangalore,3,28,Female,No,3,0
378,Bachelors,2017,Bangalore,3,27,Male,Yes,5,0
379,Bachelors,2014,Bangalore,3,26,Male,No,4,0
380,Bachelors,2014,Bangalore,3,24,Male,No,2,0
381,Bachelors,2016,Bangalore,3,28,Male,No,2,0
384,Bachelors,2015,Bangalore,3,28,Male,No,3,0
385,Bachelors,2014,Bangalore,3,26,Male,No,4,0
386,Bachelors,2012,Bangalore,3,24,Male,No,2,0
387,Bachelors,2013,Bangalore,3,27,Male,No,5,0
388,Bachelors,2015,Bangalore,3,26,Female,Yes,4,1
391,Bachelors,2013,Bangalore,3,24,Male,No,2,0
392,Bachelors,2018,Bangalore,3,28,Male,Yes,3,1
395,Bachelors,2016,Bangalore,3,25,Male,No,3,1
396,PHD,2013,Bangalore,3,25,Male,No,3,0
397,Bachelors,2014,Bangalore,3,25,Male,No,3,0
401,Bachelors,2014,Bangalore,3,27,Male,No,5,0
404,Bachelors,2015,Bangalore,3,26,Male,No,4,0
405,Bachelors,2012,Bangalore,3,26,Female,No,4,0
406,Bachelors,2015,Bangalore,3,24,Male,No,2,0
408,Bachelors,2015,Bangalore,3,28,Male,No,2,0
410,Bachelors,2016,Bangalore,3,26,Female,No,4,0
415,Masters,2015,Bangalore,2,26,Female,No,4,1
419,Bachelors,2016,Bangalore,3,24,Male,No,2,0
423,Bachelors,2016,Bangalore,3,27,Male,No,5,0
425,Bachelors,2012,Bangalore,3,27,Male,No,5,0
428,Bachelors,2013,Bangalore,3,26,Female,No,4,0
437,Masters,2014,Bangalore,3,26,Male,No,4,1
439,Bachelors,2017,Bangalore,3,26,Male,No,4,0
441,Bachelors,2017,Bangalore,3,27,Male,No,5,0
442,Bachelors,2016,Bangalore,3,25,Male,No,3,1
445,Bachelors,2017,Bangalore,3,28,Male,No,1,0
447,Bachelors,2014,Bangalore,3,25,Male,Yes,3,0
450,Bachelors,2017,Bangalore,3,26,Male,No,4,0
452,Bachelors,2016,Bangalore,3,24,Male,No,2,0
453,Bachelors,2014,Bangalore,3,25,Female,No,3,0
456,Bachelors,2013,Bangalore,3,27,Male,No,5,0
457,Bachelors,2015,Bangalore,3,25,Male,No,3,0
458,Bachelors,2016,Bangalore,3,26,Male,No,4,0
460,Bachelors,2012,Bangalore,3,26,Male,No,4,0
463,Bachelors,2014,Bangalore,1,25,Male,Yes,3,0
464,Bachelors,2018,Bangalore,3,28,Male,No,1,1
465,Bachelors,2017,Bangalore,3,28,Male,Yes,3,0
466,Masters,2013,Bangalore,3,28,Female,Yes,2,1
467,Bachelors,2013,Bangalore,3,26,Male,Yes,4,0
469,Bachelors,2012,Bangalore,3,25,Male,No,3,0
472,Bachelors,2014,Bangalore,3,28,Male,No,3,1
482,Bachelors,2017,Bangalore,3,24,Male,No,2,0
484,Bachelors,2012,Bangalore,3,26,Female,No,4,0
485,Bachelors,2012,Bangalore,3,24,Male,No,2,1
493,Bachelors,2017,Bangalore,3,24,Female,No,2,0
494,Bachelors,2016,Bangalore,3,27,Male,No,5,0
495,Bachelors,2017,Bangalore,3,25,Female,No,3,0
497,Bachelors,2016,Bangalore,3,27,Male,No,5,0
498,Bachelors,2016,Bangalore,3,28,Female,No,3,0
500,Bachelors,2013,Bangalore,3,26,Male,Yes,4,1
503,Bachelors,2012,Bangalore,3,25,Male,Yes,3,0
508,Bachelors,2013,Bangalore,3,27,Male,No,5,1
510,Bachelors,2018,Bangalore,3,28,Male,No,2,1
511,Bachelors,2016,Bangalore,3,24,Male,No,2,0
512,Bachelors,2012,Bangalore,3,24,Male,Yes,2,0
513,Bachelors,2015,Bangalore,3,28,Female,No,1,0
514,Bachelors,2014,Bangalore,3,24,Male,No,2,0
517,Bachelors,2012,Bangalore,3,25,Female,No,3,0
520,Bachelors,2014,Bangalore,3,27,Male,No,5,1
521,Bachelors,2016,Bangalore,3,27,Female,No,5,0
523,Masters,2014,Bangalore,3,24,Female,No,2,1
524,Bachelors,2013,Bangalore,3,25,Male,No,3,0
526,Bachelors,2015,Bangalore,3,25,Male,No,3,0
527,Bachelors,2017,Bangalore,3,24,Male,No,2,0
529,Bachelors,2016,Bangalore,3,28,Male,No,2,0
533,Bachelors,2014,Bangalore,3,28,Male,No,3,1
534,Bachelors,2014,Bangalore,3,25,Male,No,3,1
538,Bachelors,2014,Bangalore,3,26,Male,Yes,4,0
541,Bachelors,2016,Bangalore,3,25,Male,No,3,0
542,Bachelors,2018,Bangalore,3,24,Male,No,2,1
544,Bachelors,2013,Bangalore,3,24,Male,No,2,0
545,Bachelors,2013,Bangalore,3,28,Male,No,2,0
550,Bachelors,2012,Bangalore,3,26,Male,No,4,0
552,Bachelors,2013,Bangalore,1,28,Male,No,3,1
554,Bachelors,2013,Bangalore,3,27,Male,No,5,0
556,Bachelors,2017,Bangalore,3,27,Male,No,5,0
557,Bachelors,2012,Bangalore,3,24,Male,No,2,0
559,Bachelors,2014,Bangalore,3,28,Female,No,1,1
560,Bachelors,2015,Bangalore,3,25,Male,No,3,0
562,Bachelors,2017,Bangalore,3,24,Female,No,2,0
563,Bachelors,2016,Bangalore,3,27,Female,No,5,1
564,Bachelors,2012,Bangalore,3,25,Male,No,3,0
569,Bachelors,2012,Bangalore,3,26,Male,No,4,0
570,Bachelors,2016,Bangalore,3,26,Male,No,4,0
573,Bachelors,2013,Bangalore,3,28,Male,Yes,3,0
574,Bachelors,2017,Bangalore,3,25,Male,No,3,0
575,Bachelors,2018,Bangalore,3,27,Male,No,5,1
576,Bachelors,2017,Bangalore,3,26,Male,No,4,0
583,Bachelors,2016,Bangalore,3,25,Female,No,3,0
585,Bachelors,2014,Bangalore,3,25,Male,No,3,0
586,Bachelors,2014,Bangalore,3,25,Male,No,3,1
587,PHD,2018,Bangalore,3,26,Male,No,4,1
589,Bachelors,2014,Bangalore,3,27,Male,No,5,0
590,Bachelors,2012,Bangalore,3,25,Male,No,3,0
593,PHD,2017,Bangalore,3,28,Male,No,1,0
594,Bachelors,2014,Bangalore,3,27,Male,No,5,0
596,Bachelors,2018,Bangalore,1,27,Male,No,5,0
598,Bachelors,2012,Bangalore,3,25,Male,No,3,0
599,Bachelors,2017,Bangalore,3,27,Male,No,5,0
600,Bachelors,2016,Bangalore,3,28,Male,No,2,0
602,Bachelors,2013,Bangalore,3,25,Male,No,3,0
603,Bachelors,2013,Bangalore,3,28,Male,No,1,0
604,Bachelors,2018,Bangalore,3,28,Female,No,3,1
605,Bachelors,2016,Bangalore,3,27,Male,Yes,5,0
613,Bachelors,2016,Bangalore,3,26,Male,No,4,0
616,Bachelors,2012,Bangalore,3,26,Male,No,4,0
619,Bachelors,2016,Bangalore,3,26,Male,No,4,1
620,Bachelors,2013,Bangalore,3,26,Male,Yes,4,0
621,Bachelors,2014,Bangalore,3,28,Male,No,3,1
625,Masters,2017,Bangalore,3,27,Male,No,5,1
626,Bachelors,2015,Bangalore,3,25,Male,No,3,0
630,Bachelors,2013,Bangalore,3,25,Male,Yes,3,0
632,PHD,2013,Bangalore,1,26,Male,No,4,0
634,Bachelors,2016,Bangalore,1,28,Male,No,2,0
635,Bachelors,2017,Bangalore,3,27,Male,No,5,0
636,Bachelors,2017,Bangalore,3,25,Male,No,3,0
638,Bachelors,2015,Bangalore,1,25,Female,Yes,3,0
639,Bachelors,2018,Bangalore,3,27,Male,No,5,1
640,Bachelors,2014,Bangalore,3,26,Male,No,4,0
641,Bachelors,2018,Bangalore,3,26,Male,No,4,1
643,Bachelors,2018,Bangalore,3,27,Male,No,5,1
644,Bachelors,2016,Bangalore,3,27,Female,No,5,0
647,Bachelors,2018,Bangalore,3,24,Female,No,2,1
649,Bachelors,2015,Bangalore,3,27,Male,No,5,0
650,Bachelors,2017,Bangalore,3,26,Male,No,4,0
651,Bachelors,2016,Bangalore,3,25,Male,No,3,0
654,Bachelors,2014,Bangalore,3,28,Female,No,3,0
656,Bachelors,2016,Bangalore,3,26,Female,No,4,0
657,Bachelors,2018,Bangalore,1,25,Male,Yes,3,0
660,Bachelors,2017,Bangalore,3,25,Male,No,3,0
661,Bachelors,2016,Bangalore,3,28,Female,No,3,0
662,Bachelors,2014,Bangalore,3,28,Female,No,2,0
666,Bachelors,2017,Bangalore,3,24,Male,No,2,0
667,Bachelors,2017,Bangalore,3,26,Female,No,4,0
668,Bachelors,2015,Bangalore,1,25,Male,No,3,0
669,Bachelors,2016,Bangalore,3,26,Female,No,4,0
674,Bachelors,2017,Bangalore,3,26,Male,No,4,0
678,Bachelors,2014,Bangalore,3,25,Female,No,3,1
680,Bachelors,2017,Bangalore,1,26,Female,No,4,0
681,Bachelors,2013,Bangalore,3,24,Male,No,2,1
689,Bachelors,2013,Bangalore,3,26,Male,No,4,0
693,Bachelors,2018,Bangalore,3,27,Male,No,5,1
694,Bachelors,2015,Bangalore,3,25,Female,No,3,1
697,Bachelors,2017,Bangalore,3,26,Male,No,4,0
702,Bachelors,2015,Bangalore,3,27,Male,Yes,5,0
703,Bachelors,2015,Bangalore,3,26,Male,No,4,0
705,Bachelors,2017,Bangalore,3,26,Female,No,4,0
706,Bachelors,2014,Bangalore,3,26,Male,No,4,0
707,Bachelors,2015,Bangalore,3,28,Male,Yes,1,1
710,Masters,2013,Bangalore,3,27,Male,No,5,1
711,Bachelors,2017,Bangalore,3,27,Male,No,5,0
715,Bachelors,2017,Bangalore,3,27,Female,No,5,0
716,Bachelors,2016,Bangalore,3,26,Male,No,4,0
718,Bachelors,2015,Bangalore,3,26,Male,No,4,0
719,Bachelors,2018,Bangalore,3,27,Male,Yes,5,1
720,Bachelors,2016,Bangalore,3,24,Male,No,2,0
721,Bachelors,2014,Bangalore,3,24,Male,No,2,0
723,Bachelors,2012,Bangalore,3,26,Female,No,4,0
725,Bachelors,2018,Bangalore,3,26,Male,No,4,1
726,Bachelors,2016,Bangalore,3,24,Female,No,2,0
729,Bachelors,2013,Bangalore,3,28,Male,Yes,1,1
730,Bachelors,2015,Bangalore,1,28,Female,No,1,0
731,PHD,2018,Bangalore,3,24,Female,No,2,1
732,Bachelors,2016,Bangalore,3,26,Male,Yes,4,0
733,Bachelors,2013,Bangalore,3,27,Male,No,5,0
734,Bachelors,2013,Bangalore,3,25,Male,No,3,1
737,Bachelors,2013,Bangalore,3,28,Male,No,3,0
738,Bachelors,2018,Bangalore,3,28,Male,No,1,1
739,Bachelors,2017,Bangalore,3,24,Male,No,2,0
742,Bachelors,2017,Bangalore,3,25,Female,No,3,0
744,Bachelors,2015,Bangalore,3,27,Female,No,5,0
746,Bachelors,2012,Bangalore,3,28,Male,No,3,0
747,Bachelors,2012,Bangalore,3,25,Female,No,3,0
748,Bachelors,2015,Bangalore,3,24,Female,No,2,0
750,Bachelors,2013,Bangalore,3,26,Female,No,4,0
752,Masters,2017,Bangalore,3,28,Female,No,3,1
753,Bachelors,2015,Bangalore,3,25,Male,No,3,1
754,Bachelors,2012,Bangalore,3,28,Female,No,2,0
756,Bachelors,2012,Bangalore,3,27,Female,No,5,0
761,Bachelors,2014,Bangalore,3,24,Male,No,2,0
762,Bachelors,2016,Bangalore,3,28,Male,No,3,0
767,Bachelors,2014,Bangalore,3,24,Male,No,2,0
768,Bachelors,2018,Bangalore,3,26,Male,No,4,1
769,Bachelors,2013,Bangalore,3,26,Male,No,4,0
774,Bachelors,2017,Bangalore,3,24,Female,No,2,0
776,Bachelors,2013,Bangalore,1,28,Female,No,2,0
777,Masters,2014,Bangalore,3,27,Female,No,5,1
778,Bachelors,2013,Bangalore,3,26,Male,No,4,0
779,Bachelors,2016,Bangalore,3,25,Male,No,3,0
782,Bachelors,2013,Bangalore,3,26,Male,No,4,0
785,Bachelors,2016,Bangalore,3,25,Male,Yes,3,0
786,Bachelors,2017,Bangalore,3,25,Male,No,3,1
788,Bachelors,2018,Bangalore,3,24,Male,No,2,1
790,Bachelors,2017,Bangalore,3,26,Male,No,4,0
794,Bachelors,2012,Bangalore,3,24,Male,No,2,0
797,Bachelors,2016,Bangalore,3,25,Male,No,3,0
799,Bachelors,2016,Bangalore,3,26,Male,No,4,0
800,Bachelors,2013,Bangalore,3,24,Male,No,2,0
802,Bachelors,2014,Bangalore,3,24,Male,No,2,0
803,Bachelors,2017,Bangalore,3,27,Female,No,5,1
807,Bachelors,2017,Bangalore,3,24,Female,Yes,2,0
809,Bachelors,2017,Bangalore,3,27,Male,No,5,0
816,Masters,2017,Bangalore,2,25,Female,Yes,3,1
817,Bachelors,2017,Bangalore,3,24,Female,No,2,1
818,Bachelors,2013,Bangalore,3,26,Female,No,4,0
819,Bachelors,2018,Bangalore,3,24,Male,Yes,2,1
822,Bachelors,2017,Bangalore,3,25,Male,No,3,0
823,Bachelors,2017,Bangalore,3,25,Male,No,3,0
824,Bachelors,2017,Bangalore,3,24,Male,No,2,1
826,Bachelors,2012,Bangalore,3,27,Female,No,5,0
828,Bachelors,2017,Bangalore,3,28,Male,No,2,1
829,Bachelors,2012,Bangalore,3,28,Male,Yes,3,1
831,Bachelors,2018,Bangalore,3,24,Female,No,2,1
835,Bachelors,2015,Bangalore,3,26,Female,No,4,0
837,Bachelors,2014,Bangalore,3,27,Male,No,5,0
839,Bachelors,2015,Bangalore,3,26,Female,No,4,1
841,Bachelors,2012,Bangalore,3,26,Female,No,4,0
847,Bachelors,2018,Bangalore,3,25,Male,No,3,1
848,Bachelors,2014,Bangalore,3,25,Female,No,3,0
861,Bachelors,2015,Bangalore,3,27,Male,No,5,1
862,Bachelors,2015,Bangalore,3,24,Male,No,2,1
863,Bachelors,2018,Bangalore,3,24,Male,No,2,1
865,Bachelors,2012,Bangalore,3,28,Female,No,2,0
869,Bachelors,2012,Bangalore,3,26,Male,No,4,0
872,Masters,2014,Bangalore,3,27,Male,No,5,1
877,Bachelors,2015,Bangalore,3,28,Male,Yes,2,0
879,Bachelors,2017,Bangalore,2,27,Male,No,5,0
880,Bachelors,2016,Bangalore,3,24,Male,No,2,0
881,Bachelors,2017,Bangalore,3,27,Male,No,5,0
882,Bachelors,2014,Bangalore,3,26,Male,No,4,1
883,Bachelors,2017,Bangalore,3,24,Female,No,2,0
884,Bachelors,2017,Bangalore,3,28,Male,No,1,0
885,Bachelors,2014,Bangalore,3,26,Male,No,4,1
886,Bachelors,2018,Bangalore,3,28,Female,No,3,1
888,Bachelors,2017,Bangalore,1,27,Male,No,5,0
890,Bachelors,2017,Bangalore,3,27,Male,No,5,0
892,Bachelors,2014,Bangalore,3,25,Male,No,3,0
893,Bachelors,2017,Bangalore,3,25,Female,No,3,0
894,Bachelors,2018,Bangalore,3,25,Male,No,3,1
895,Bachelors,2013,Bangalore,3,28,Female,No,3,0
897,Bachelors,2013,Bangalore,3,27,Male,No,5,0
899,Bachelors,2014,Bangalore,3,24,Male,No,2,0
903,Bachelors,2014,Bangalore,3,25,Male,No,3,0
904,Bachelors,2014,Bangalore,3,28,Male,No,3,0
905,Bachelors,2018,Bangalore,3,26,Male,No,4,1
906,Masters,2017,Bangalore,3,28,Male,No,1,1
907,Bachelors,2018,Bangalore,3,27,Male,Yes,5,1
908,Bachelors,2017,Bangalore,3,28,Male,Yes,1,0
909,Bachelors,2016,Bangalore,3,25,Male,No,3,0
912,Bachelors,2014,Bangalore,3,24,Female,No,2,0
913,Bachelors,2012,Bangalore,3,26,Male,No,4,0
916,Bachelors,2014,Bangalore,3,26,Male,No,4,0
917,Bachelors,2017,Bangalore,3,27,Male,No,5,0
919,Bachelors,2015,Bangalore,3,28,Female,No,1,0
920,Bachelors,2014,Bangalore,3,24,Male,No,2,0
923,Bachelors,2015,Bangalore,3,26,Male,No,4,0
925,Bachelors,2018,Bangalore,3,25,Male,Yes,3,1
926,Bachelors,2016,Bangalore,3,26,Male,No,4,0
927,Bachelors,2015,Bangalore,3,27,Female,No,5,1
929,Bachelors,2014,Bangalore,3,27,Male,No,5,0
931,Bachelors,2012,Bangalore,3,28,Male,No,3,0
934,Masters,2012,Bangalore,3,27,Male,No,5,1
935,Bachelors,2018,Bangalore,3,25,Female,No,3,1
938,Bachelors,2013,Bangalore,3,27,Male,No,5,0
939,Masters,2017,Bangalore,2,28,Male,Yes,2,1
942,Bachelors,2016,Bangalore,3,28,Male,No,3,0
944,Bachelors,2018,Bangalore,3,25,Male,No,3,1
948,Bachelors,2012,Bangalore,3,25,Female,Yes,3,0
949,Bachelors,2017,Bangalore,3,25,Male,Yes,3,0
950,Bachelors,2013,Bangalore,3,28,Female,No,1,1
952,Bachelors,2014,Bangalore,3,25,Male,No,3,0
960,Bachelors,2015,Bangalore,3,26,Male,No,4,0
962,PHD,2016,Bangalore,3,27,Male,No,5,0
963,Bachelors,2018,Bangalore,3,24,Male,No,2,1
965,Bachelors,2012,Bangalore,3,26,Male,No,4,0
966,Bachelors,2017,Bangalore,3,28,Male,No,3,0
972,Bachelors,2017,Bangalore,3,24,Male,No,2,0
975,Bachelors,2018,Bangalore,3,24,Male,No,2,1
980,Bachelors,2016,Bangalore,1,27,Female,No,5,0
982,Bachelors,2016,Bangalore,3,26,Male,Yes,4,0
984,Bachelors,2013,Bangalore,3,24,Male,No,2,0
985,Bachelors,2015,Bangalore,3,25,Female,No,3,0
986,Bachelors,2015,Bangalore,3,26,Male,No,4,0
